id,group_id,discipline_id,date_on,kind,order_number,timetable_id
12274,234,214,2014-09-26,practice,2,100472
13230,233,423,2014-09-29,lecture,2,100181
13231,233,423,2014-09-29,laboratory,3,100183
13232,233,423,2014-09-29,laboratory,4,100184
13279,234,423,2014-09-29,lecture,2,100181
13280,234,530,2014-09-29,practice,3,100185
13889,233,20,2014-09-30,lecture,1,100206
13890,233,251,2014-09-30,practice,2,100214
13939,234,20,2014-09-30,lecture,1,100206
13940,234,214,2014-09-30,practice,2,100215
14494,233,214,2014-10-01,lecture,1,100230
14495,233,214,2014-10-01,practice,2,100235
14531,234,214,2014-10-01,lecture,1,100230
14532,234,31,2014-10-01,practice,2,100237
14533,234,423,2014-10-01,laboratory,3,100238
14534,234,423,2014-10-01,laboratory,4,100239
15065,233,202,2014-10-02,lecture,2,99973
15066,233,530,2014-10-02,practice,4,100361
15101,234,202,2014-10-02,lecture,2,99973
15561,233,31,2014-10-03,practice,2,100432
15562,233,20,2014-10-03,practice,3,100435
15563,233,251,2014-10-03,lecture,4,103150
15564,233,201,2014-10-03,laboratory,5,103218
15613,234,20,2014-10-03,practice,2,100436
15614,234,251,2014-10-03,lecture,4,103150
16568,233,423,2014-10-06,lecture,2,100190
16569,233,530,2014-10-06,practice,3,100197
16570,233,530,2014-10-06,laboratory,5,100198
16571,233,530,2014-10-06,laboratory,6,100199
16626,234,565,2014-10-06,practice,1,103417
16627,234,423,2014-10-06,lecture,2,100190
16628,234,423,2014-10-06,laboratory,3,100200
16629,234,423,2014-10-06,laboratory,4,100202
17238,233,20,2014-10-07,lecture,1,100223
17239,233,214,2014-10-07,practice,2,100226
17287,234,20,2014-10-07,lecture,1,100223
17288,234,251,2014-10-07,practice,2,100227
17856,233,31,2014-10-08,lecture,2,100242
17857,233,201,2014-10-08,lecture,3,100248
17903,234,31,2014-10-08,lecture,2,100242
17904,234,201,2014-10-08,lecture,3,100248
17905,234,530,2014-10-08,practice,4,100252
18457,233,202,2014-10-09,lecture,2,100383
18492,234,202,2014-10-09,lecture,2,100383
18962,233,20,2014-10-10,practice,2,100466
18963,233,423,2014-10-10,laboratory,3,100468
18964,233,423,2014-10-10,laboratory,4,100470
18965,233,565,2014-10-10,practice,5,103415
19010,234,20,2014-10-10,practice,1,100471
19011,234,214,2014-10-10,practice,2,100472
19976,233,423,2014-10-13,lecture,2,100181
19977,233,423,2014-10-13,laboratory,3,100183
19978,233,423,2014-10-13,laboratory,4,100184
20026,234,423,2014-10-13,lecture,2,100181
20027,234,530,2014-10-13,practice,3,100185
20642,233,20,2014-10-14,lecture,1,100206
20643,233,251,2014-10-14,practice,2,100214
20693,234,20,2014-10-14,lecture,1,100206
20694,234,214,2014-10-14,practice,2,100215
21263,233,214,2014-10-15,lecture,1,100230
21264,233,214,2014-10-15,practice,2,100235
21305,234,214,2014-10-15,lecture,1,100230
21306,234,31,2014-10-15,practice,2,100237
21307,234,423,2014-10-15,laboratory,3,100238
21308,234,423,2014-10-15,laboratory,4,100239
21843,233,202,2014-10-16,lecture,2,99973
21844,233,530,2014-10-16,practice,4,100361
21879,234,202,2014-10-16,lecture,2,99973
21880,234,530,2014-10-16,laboratory,5,100366
21881,234,530,2014-10-16,laboratory,6,100369
22346,233,31,2014-10-17,practice,2,100432
22347,233,20,2014-10-17,practice,3,100435
22348,233,251,2014-10-17,lecture,4,103150
22349,233,201,2014-10-17,laboratory,5,103218
22398,234,20,2014-10-17,practice,2,100436
22399,234,251,2014-10-17,lecture,4,103150
23366,233,423,2014-10-20,lecture,2,100190
23367,233,530,2014-10-20,practice,3,100197
23368,233,530,2014-10-20,laboratory,5,100198
23369,233,530,2014-10-20,laboratory,6,100199
23425,234,565,2014-10-20,practice,1,103417
23426,234,423,2014-10-20,lecture,2,100190
23427,234,423,2014-10-20,laboratory,3,100200
23428,234,423,2014-10-20,laboratory,4,100202
24030,233,20,2014-10-21,lecture,1,100223
24031,233,214,2014-10-21,practice,2,100226
24080,234,20,2014-10-21,lecture,1,100223
24081,234,251,2014-10-21,practice,2,100227
24650,233,31,2014-10-22,lecture,2,100242
24651,233,201,2014-10-22,lecture,3,100248
24696,234,31,2014-10-22,lecture,2,100242
24697,234,201,2014-10-22,lecture,3,100248
24698,234,530,2014-10-22,practice,4,100252
25253,233,202,2014-10-23,lecture,2,100383
25288,234,202,2014-10-23,lecture,2,100383
25759,233,20,2014-10-24,practice,2,100466
25760,233,423,2014-10-24,laboratory,3,100468
25761,233,423,2014-10-24,laboratory,4,100470
25762,233,565,2014-10-24,practice,5,103415
25809,234,20,2014-10-24,practice,1,100471
25810,234,214,2014-10-24,practice,2,100472
26774,233,423,2014-10-27,lecture,2,100181
26775,233,423,2014-10-27,laboratory,3,100183
26776,233,423,2014-10-27,laboratory,4,100184
26824,234,423,2014-10-27,lecture,2,100181
26825,234,530,2014-10-27,practice,3,100185
27431,233,20,2014-10-28,lecture,1,100206
27432,233,251,2014-10-28,practice,2,100214
27482,234,20,2014-10-28,lecture,1,100206
27483,234,214,2014-10-28,practice,2,100215
28056,233,214,2014-10-29,lecture,1,100230
28057,233,214,2014-10-29,practice,2,100235
28098,234,214,2014-10-29,lecture,1,100230
28099,234,31,2014-10-29,practice,2,100237
28100,234,423,2014-10-29,laboratory,3,100238
28101,234,423,2014-10-29,laboratory,4,100239
28635,233,202,2014-10-30,lecture,2,99973
28636,233,530,2014-10-30,practice,4,100361
28671,234,202,2014-10-30,lecture,2,99973
28672,234,530,2014-10-30,laboratory,5,100366
28673,234,530,2014-10-30,laboratory,6,100369
29131,233,31,2014-10-31,practice,2,100432
29132,233,20,2014-10-31,practice,3,100435
29133,233,251,2014-10-31,lecture,4,103150
29134,233,201,2014-10-31,laboratory,5,103218
29181,234,20,2014-10-31,practice,2,100436
29182,234,251,2014-10-31,lecture,4,103150
30472,233,31,2014-11-05,lecture,2,108950
30473,233,201,2014-11-05,lecture,3,108953
30520,234,31,2014-11-05,lecture,2,108950
30521,234,201,2014-11-05,lecture,3,108953
31061,233,251,2014-11-06,practice,4,110673
31546,233,20,2014-11-07,practice,2,108979
31547,233,423,2014-11-07,laboratory,4,108981
31548,233,423,2014-11-07,laboratory,5,110666
31597,234,20,2014-11-07,practice,1,108944
31598,234,214,2014-11-07,practice,2,108945
32157,234,31,2014-11-08,laboratory,1,110664
32158,234,31,2014-11-08,laboratory,2,110665
32578,233,423,2014-11-10,lecture,2,108902
32579,233,423,2014-11-10,laboratory,3,108866
32580,233,423,2014-11-10,laboratory,4,108867
32581,233,565,2014-11-10,practice,5,113942
32631,234,423,2014-11-10,lecture,2,108902
33255,233,20,2014-11-11,lecture,1,108878
33256,233,251,2014-11-11,practice,2,108876
33303,234,20,2014-11-11,lecture,1,108878
33304,234,214,2014-11-11,practice,2,108877
33305,234,251,2014-11-11,practice,4,110471
33859,233,214,2014-11-12,lecture,1,108917
33860,233,214,2014-11-12,practice,2,108887
33911,234,214,2014-11-12,lecture,1,108917
33912,234,31,2014-11-12,practice,2,108948
33913,234,423,2014-11-12,laboratory,3,108920
33914,234,423,2014-11-12,laboratory,4,108921
34455,233,20,2014-11-13,practice,2,110495
34489,234,530,2014-11-13,laboratory,5,108929
34490,234,530,2014-11-13,laboratory,6,108958
34940,233,31,2014-11-14,practice,2,108936
34941,233,251,2014-11-14,lecture,4,109024
34990,234,20,2014-11-14,practice,2,108937
34991,234,251,2014-11-14,lecture,4,109024
35504,233,31,2014-11-15,laboratory,1,110663
35505,233,31,2014-11-15,laboratory,2,115505
35977,233,423,2014-11-17,lecture,2,108868
35978,233,530,2014-11-17,laboratory,5,108871
35979,233,530,2014-11-17,laboratory,6,108872
36034,234,565,2014-11-17,practice,1,109034
36035,234,423,2014-11-17,lecture,2,108868
36036,234,423,2014-11-17,laboratory,3,108873
36037,234,423,2014-11-17,laboratory,4,108874
36662,233,20,2014-11-18,lecture,1,108881
36663,233,214,2014-11-18,practice,2,108883
36664,233,423,2014-11-18,lecture,4,110683
36708,234,20,2014-11-18,lecture,1,108881
36709,234,251,2014-11-18,practice,2,108884
36710,234,423,2014-11-18,lecture,4,110683
37265,233,31,2014-11-19,lecture,2,108950
37266,233,201,2014-11-19,lecture,3,108953
37316,234,31,2014-11-19,lecture,2,108950
37317,234,201,2014-11-19,lecture,3,108953
37856,233,251,2014-11-20,practice,4,110673
38340,233,20,2014-11-21,practice,2,108979
38341,233,423,2014-11-21,laboratory,4,108981
38342,233,423,2014-11-21,laboratory,5,110666
38391,234,20,2014-11-21,practice,1,108944
38392,234,214,2014-11-21,practice,2,108945
38948,234,31,2014-11-22,laboratory,1,110664
38949,234,31,2014-11-22,laboratory,2,110665
39364,233,423,2014-11-24,lecture,2,108902
39365,233,423,2014-11-24,laboratory,3,108866
39366,233,423,2014-11-24,laboratory,4,108867
39367,233,565,2014-11-24,practice,5,113942
39417,234,423,2014-11-24,lecture,2,108902
40044,233,20,2014-11-25,lecture,1,108878
40045,233,251,2014-11-25,practice,2,108876
40092,234,20,2014-11-25,lecture,1,108878
40093,234,214,2014-11-25,practice,2,108877
40094,234,251,2014-11-25,practice,4,110471
40652,233,214,2014-11-26,lecture,1,108917
40653,233,214,2014-11-26,practice,2,108887
40704,234,214,2014-11-26,lecture,1,108917
40705,234,31,2014-11-26,practice,2,108948
40706,234,423,2014-11-26,laboratory,3,108920
40707,234,423,2014-11-26,laboratory,4,108921
41247,233,20,2014-11-27,practice,2,110495
41281,234,530,2014-11-27,laboratory,5,108929
41282,234,530,2014-11-27,laboratory,6,108958
41734,233,31,2014-11-28,practice,2,108936
41735,233,251,2014-11-28,lecture,4,109024
41784,234,20,2014-11-28,practice,2,108937
41785,234,251,2014-11-28,lecture,4,109024
42301,233,31,2014-11-29,laboratory,1,110663
42302,233,31,2014-11-29,laboratory,2,115505
42757,233,423,2014-12-01,lecture,2,108868
42758,233,530,2014-12-01,laboratory,5,108871
42759,233,530,2014-12-01,laboratory,6,108872
42812,234,565,2014-12-01,practice,1,109034
42813,234,423,2014-12-01,lecture,2,108868
42814,234,423,2014-12-01,laboratory,3,108873
42815,234,423,2014-12-01,laboratory,4,108874
43343,233,20,2014-12-02,lecture,1,108881
43344,233,214,2014-12-02,practice,2,108883
43345,233,423,2014-12-02,lecture,4,110683
43387,234,20,2014-12-02,lecture,1,108881
43388,234,251,2014-12-02,practice,2,108884
43389,234,423,2014-12-02,lecture,4,110683
43854,233,31,2014-12-03,lecture,2,108950
43855,233,201,2014-12-03,lecture,3,108953
43901,234,31,2014-12-03,lecture,2,108950
43902,234,201,2014-12-03,lecture,3,108953
44350,233,251,2014-12-04,practice,4,110673
44731,233,20,2014-12-05,practice,2,108979
44732,233,423,2014-12-05,laboratory,4,108981
44733,233,423,2014-12-05,laboratory,5,110666
44781,234,20,2014-12-05,practice,1,108944
44782,234,214,2014-12-05,practice,2,108945
45253,234,31,2014-12-06,laboratory,1,110664
45254,234,31,2014-12-06,laboratory,2,110665
45608,233,423,2014-12-08,lecture,2,108902
45609,233,423,2014-12-08,laboratory,3,108866
45610,233,423,2014-12-08,laboratory,4,108867
45611,233,565,2014-12-08,practice,5,113942
45659,234,423,2014-12-08,lecture,2,108902
46177,233,20,2014-12-09,lecture,1,108878
46178,233,251,2014-12-09,practice,2,108876
46218,234,20,2014-12-09,lecture,1,108878
46219,234,214,2014-12-09,practice,2,108877
46220,234,251,2014-12-09,practice,4,110471
46689,233,214,2014-12-10,lecture,1,108917
46690,233,214,2014-12-10,practice,2,108887
46737,234,214,2014-12-10,lecture,1,108917
46738,234,31,2014-12-10,practice,2,108948
46739,234,423,2014-12-10,laboratory,3,108920
46740,234,423,2014-12-10,laboratory,4,108921
47194,233,20,2014-12-11,practice,2,110495
47226,234,530,2014-12-11,laboratory,5,108929
47227,234,530,2014-12-11,laboratory,6,108958
47579,233,31,2014-12-12,practice,2,108936
47580,233,251,2014-12-12,lecture,4,109024
47626,234,20,2014-12-12,practice,2,108937
47627,234,251,2014-12-12,lecture,4,109024
48054,233,31,2014-12-13,laboratory,1,110663
48055,233,31,2014-12-13,laboratory,2,115505
48445,233,423,2014-12-15,lecture,2,108868
48446,233,530,2014-12-15,laboratory,5,108871
48447,233,530,2014-12-15,laboratory,6,108872
48495,234,565,2014-12-15,practice,1,109034
48496,234,423,2014-12-15,lecture,2,108868
48497,234,423,2014-12-15,laboratory,3,108873
48498,234,423,2014-12-15,laboratory,4,108874
49022,233,20,2014-12-16,lecture,1,108881
49023,233,214,2014-12-16,practice,2,108883
49024,233,423,2014-12-16,lecture,4,110683
49062,234,20,2014-12-16,lecture,1,108881
49063,234,251,2014-12-16,practice,2,108884
49064,234,423,2014-12-16,lecture,4,110683
49524,233,31,2014-12-17,lecture,2,108950
49525,233,201,2014-12-17,lecture,3,108953
49569,234,31,2014-12-17,lecture,2,108950
49570,234,201,2014-12-17,lecture,3,108953
50010,233,251,2014-12-18,practice,4,110673
50385,233,20,2014-12-19,practice,2,108979
50386,233,423,2014-12-19,laboratory,4,108981
50387,233,423,2014-12-19,laboratory,5,110666
50437,234,20,2014-12-19,practice,1,108944
50438,234,214,2014-12-19,practice,2,108945
50899,234,31,2014-12-20,laboratory,1,110664
50900,234,31,2014-12-20,laboratory,2,110665
51246,233,423,2014-12-22,lecture,2,108902
51247,233,423,2014-12-22,laboratory,3,108866
51248,233,423,2014-12-22,laboratory,4,108867
51249,233,565,2014-12-22,practice,5,113942
51297,234,423,2014-12-22,lecture,2,108902
51810,233,20,2014-12-23,lecture,1,108878
51811,233,251,2014-12-23,practice,2,108876
51851,234,20,2014-12-23,lecture,1,108878
51852,234,214,2014-12-23,practice,2,108877
51853,234,251,2014-12-23,practice,4,110471
52320,233,214,2014-12-24,lecture,1,108917
52321,233,214,2014-12-24,practice,2,108887
52372,234,214,2014-12-24,lecture,1,108917
52373,234,31,2014-12-24,practice,2,108948
52374,234,423,2014-12-24,laboratory,3,108920
52375,234,423,2014-12-24,laboratory,4,108921
52822,233,20,2014-12-25,practice,2,110495
52854,234,530,2014-12-25,laboratory,5,108929
52855,234,530,2014-12-25,laboratory,6,108958
53207,233,31,2014-12-26,practice,2,108936
53208,233,251,2014-12-26,lecture,4,109024
53257,234,20,2014-12-26,practice,2,108937
53258,234,251,2014-12-26,lecture,4,109024
53679,233,31,2014-12-27,laboratory,1,110663
53680,233,31,2014-12-27,laboratory,2,115505
54047,233,20,2015-02-09,lecture,1,120810
54048,233,31,2015-02-09,practice,2,120847
54049,233,20,2015-02-09,practice,3,120831
54050,233,94,2015-02-09,lecture,4,120853
54082,234,20,2015-02-09,lecture,1,120810
54083,234,20,2015-02-09,practice,2,120844
54084,234,31,2015-02-09,practice,3,120850
54085,234,94,2015-02-09,lecture,4,120853
54588,233,31,2015-02-10,lecture,2,120899
54626,234,31,2015-02-10,lecture,2,120899
55092,233,1061,2015-02-11,lecture,1,121033
55093,233,303,2015-02-11,lecture,2,120935
55094,233,94,2015-02-11,laboratory,3,121039
55095,233,94,2015-02-11,laboratory,4,121043
55127,234,1061,2015-02-11,lecture,1,121033
55128,234,303,2015-02-11,lecture,2,120935
55576,233,565,2015-02-12,practice,2,121137
55577,233,92,2015-02-12,lecture,4,121142
55598,234,92,2015-02-12,lecture,4,121142
55904,233,303,2015-02-13,laboratory,3,121155
55905,233,303,2015-02-13,laboratory,4,121156
55944,234,303,2015-02-13,laboratory,1,121151
55945,234,303,2015-02-13,laboratory,2,121152
56702,233,20,2015-02-16,lecture,1,120804
56703,233,20,2015-02-16,practice,2,120829
56736,234,20,2015-02-16,lecture,1,120804
56737,234,18,2015-02-16,practice,2,120838
56738,234,20,2015-02-16,practice,3,120842
57259,233,92,2015-02-17,laboratory,1,120860
57260,233,92,2015-02-17,laboratory,2,120861
57771,233,18,2015-02-18,practice,1,120920
57772,233,303,2015-02-18,lecture,2,120934
57799,234,303,2015-02-18,lecture,2,120934
57800,234,94,2015-02-18,laboratory,3,121007
57801,234,94,2015-02-18,laboratory,4,121009
58276,234,565,2015-02-19,practice,2,121134
58277,234,303,2015-02-19,laboratory,4,121132
58278,234,303,2015-02-19,laboratory,5,121133
58585,233,18,2015-02-20,lecture,2,121145
58586,233,303,2015-02-20,laboratory,3,121153
58587,233,303,2015-02-20,laboratory,4,121154
58624,234,18,2015-02-20,lecture,2,121145
58625,234,92,2015-02-20,laboratory,3,121157
58626,234,92,2015-02-20,laboratory,4,121158
59894,233,31,2015-02-24,lecture,2,120899
59932,234,31,2015-02-24,lecture,2,120899
60397,233,1061,2015-02-25,lecture,1,121033
60398,233,303,2015-02-25,lecture,2,120935
60399,233,94,2015-02-25,laboratory,3,121039
60400,233,94,2015-02-25,laboratory,4,121043
60432,234,1061,2015-02-25,lecture,1,121033
60433,234,303,2015-02-25,lecture,2,120935
60883,233,565,2015-02-26,practice,2,121137
60884,233,92,2015-02-26,lecture,4,121142
60905,234,92,2015-02-26,lecture,4,121142
61209,233,303,2015-02-27,laboratory,3,121155
61210,233,303,2015-02-27,laboratory,4,121156
61249,234,303,2015-02-27,laboratory,1,121151
61250,234,303,2015-02-27,laboratory,2,121152
62003,233,20,2015-03-02,lecture,1,120804
62004,233,20,2015-03-02,practice,2,120829
62040,234,20,2015-03-02,lecture,1,120804
62041,234,18,2015-03-02,practice,2,120838
62042,234,20,2015-03-02,practice,3,120842
62577,233,92,2015-03-03,laboratory,1,120860
62578,233,92,2015-03-03,laboratory,2,120861
63095,233,18,2015-03-04,practice,1,120920
63096,233,303,2015-03-04,lecture,2,120934
63125,234,303,2015-03-04,lecture,2,120934
63126,234,94,2015-03-04,laboratory,3,121007
63127,234,94,2015-03-04,laboratory,4,121009
63605,234,565,2015-03-05,practice,2,121134
63606,234,303,2015-03-05,laboratory,4,121132
63607,234,303,2015-03-05,laboratory,5,121133
63914,233,18,2015-03-06,lecture,2,121145
63915,233,303,2015-03-06,laboratory,3,121153
63916,233,303,2015-03-06,laboratory,4,121154
63952,234,18,2015-03-06,lecture,2,121145
63953,234,92,2015-03-06,laboratory,3,121157
63954,234,92,2015-03-06,laboratory,4,121158
65195,233,1061,2015-03-11,lecture,1,121033
65196,233,303,2015-03-11,lecture,2,120935
65197,233,94,2015-03-11,laboratory,3,121039
65198,233,94,2015-03-11,laboratory,4,121043
65231,234,1061,2015-03-11,lecture,1,121033
65232,234,303,2015-03-11,lecture,2,120935
65693,233,565,2015-03-12,practice,2,121137
65694,233,92,2015-03-12,lecture,4,121142
65716,234,92,2015-03-12,lecture,4,121142
66028,233,303,2015-03-13,laboratory,3,121155
66029,233,303,2015-03-13,laboratory,4,121156
66066,234,303,2015-03-13,laboratory,1,121151
66067,234,303,2015-03-13,laboratory,2,121152
66842,233,20,2015-03-16,lecture,1,120804
66843,233,20,2015-03-16,practice,2,120829
66879,234,20,2015-03-16,lecture,1,120804
66880,234,18,2015-03-16,practice,2,120838
66881,234,20,2015-03-16,practice,3,120842
67427,233,92,2015-03-17,laboratory,1,120860
67428,233,92,2015-03-17,laboratory,2,120861
67947,233,18,2015-03-18,practice,1,120920
67948,233,303,2015-03-18,lecture,2,120934
67977,234,303,2015-03-18,lecture,2,120934
67978,234,94,2015-03-18,laboratory,3,121007
67979,234,94,2015-03-18,laboratory,4,121009
68452,234,565,2015-03-19,practice,2,121134
68453,234,303,2015-03-19,laboratory,4,121132
68454,234,303,2015-03-19,laboratory,5,121133
68773,233,18,2015-03-20,lecture,2,121145
68774,233,303,2015-03-20,laboratory,3,121153
68775,233,303,2015-03-20,laboratory,4,121154
68809,234,18,2015-03-20,lecture,2,121145
68810,234,92,2015-03-20,laboratory,3,121157
68811,234,92,2015-03-20,laboratory,4,121158
69578,233,20,2015-03-23,lecture,1,120810
69579,233,31,2015-03-23,practice,2,120847
69580,233,20,2015-03-23,practice,3,120831
69581,233,94,2015-03-23,lecture,4,120853
69609,234,20,2015-03-23,lecture,1,120810
69610,234,20,2015-03-23,practice,2,120844
69611,234,31,2015-03-23,practice,3,120850
69612,234,94,2015-03-23,lecture,4,120853
70133,233,31,2015-03-24,lecture,2,120899
70171,234,31,2015-03-24,lecture,2,120899
70669,233,1061,2015-03-25,lecture,1,121033
70670,233,303,2015-03-25,lecture,2,120935
70671,233,94,2015-03-25,laboratory,3,121039
70672,233,94,2015-03-25,laboratory,4,121043
70711,234,1061,2015-03-25,lecture,1,121033
70712,234,303,2015-03-25,lecture,2,120935
71154,233,565,2015-03-26,practice,2,121137
71155,233,92,2015-03-26,lecture,4,121142
71174,234,92,2015-03-26,lecture,4,121142
71499,233,303,2015-03-27,laboratory,3,121155
71500,233,303,2015-03-27,laboratory,4,121156
71539,234,303,2015-03-27,laboratory,1,121151
71540,234,303,2015-03-27,laboratory,2,121152
72339,233,20,2015-03-30,lecture,1,120804
72340,233,20,2015-03-30,practice,2,120829
72373,234,20,2015-03-30,lecture,1,120804
72374,234,18,2015-03-30,practice,2,120838
72375,234,20,2015-03-30,practice,3,120842
72912,233,92,2015-03-31,laboratory,1,120860
72913,233,92,2015-03-31,laboratory,2,120861
73445,233,18,2015-04-01,practice,1,120920
73446,233,303,2015-04-01,lecture,2,120934
73475,234,303,2015-04-01,lecture,2,120934
73476,234,94,2015-04-01,laboratory,3,121007
73477,234,94,2015-04-01,laboratory,4,121009
73920,233,1061,2015-04-02,laboratory,1,121103
73921,233,1061,2015-04-02,laboratory,2,121105
73943,234,565,2015-04-02,practice,2,121134
73944,234,303,2015-04-02,laboratory,4,121132
73945,234,303,2015-04-02,laboratory,5,121133
74269,233,18,2015-04-03,lecture,2,121145
74270,233,303,2015-04-03,laboratory,3,121153
74271,233,303,2015-04-03,laboratory,4,121154
74304,234,18,2015-04-03,lecture,2,121145
74305,234,92,2015-04-03,laboratory,3,121157
74306,234,92,2015-04-03,laboratory,4,121158
75079,233,20,2015-04-06,lecture,1,120810
75080,233,31,2015-04-06,practice,2,120847
75081,233,20,2015-04-06,practice,3,120831
75082,233,94,2015-04-06,lecture,4,120853
75110,234,20,2015-04-06,lecture,1,120810
75111,234,20,2015-04-06,practice,2,120844
75112,234,31,2015-04-06,practice,3,120850
75113,234,94,2015-04-06,lecture,4,120853
75633,233,31,2015-04-07,lecture,2,120899
75671,234,31,2015-04-07,lecture,2,120899
76164,233,1061,2015-04-08,lecture,1,121033
76165,233,303,2015-04-08,lecture,2,120935
76166,233,94,2015-04-08,laboratory,3,121039
76167,233,94,2015-04-08,laboratory,4,121043
76206,234,1061,2015-04-08,lecture,1,121033
76207,234,303,2015-04-08,lecture,2,120935
76645,233,565,2015-04-09,practice,2,121137
76646,233,92,2015-04-09,lecture,4,121142
76665,234,1061,2015-04-09,laboratory,1,121139
76666,234,1061,2015-04-09,laboratory,2,121140
76667,234,92,2015-04-09,lecture,4,121142
77000,233,303,2015-04-10,laboratory,3,121155
77001,233,303,2015-04-10,laboratory,4,121156
77040,234,303,2015-04-10,laboratory,1,121151
77041,234,303,2015-04-10,laboratory,2,121152
77817,233,20,2015-04-13,lecture,1,123410
77818,233,20,2015-04-13,practice,2,123411
77844,234,20,2015-04-13,lecture,1,123410
77845,234,18,2015-04-13,practice,2,123413
77846,234,20,2015-04-13,practice,3,123407
78288,233,92,2015-04-14,laboratory,1,123417
78289,233,92,2015-04-14,laboratory,2,123418
78727,233,18,2015-04-15,practice,1,123430
78728,233,303,2015-04-15,lecture,2,123654
78757,234,303,2015-04-15,lecture,2,123654
78758,234,94,2015-04-15,laboratory,3,123440
78759,234,94,2015-04-15,laboratory,4,123441
79133,233,1061,2015-04-16,laboratory,1,123481
79134,233,1061,2015-04-16,laboratory,2,123454
79158,234,565,2015-04-16,practice,2,123456
79159,234,303,2015-04-16,laboratory,4,123482
79160,234,303,2015-04-16,laboratory,5,123483
79435,233,18,2015-04-17,lecture,2,123491
79436,233,303,2015-04-17,laboratory,3,123495
